latitude,longitude,value
45.57731166666667,10.701035,225.164
45.57732,10.701038333333333,229.467
45.57732,10.701038333333333,226.885
45.57732,10.701038333333333,226.029
45.57732,10.701038333333333,224.329
45.57732,10.701038333333333,229.46
45.57732,10.701038333333333,227.771
45.57732,10.701038333333333,226.896
45.57732,10.701038333333333,226.918
45.57732,10.701038333333333,229.486
45.57732,10.701038333333333,226.915
45.577326666666664,10.70104,226.054
45.577326666666664,10.70104,229.474
45.577326666666664,10.701041666666667,225.225
45.577326666666664,10.701041666666667,225.221
45.577326666666664,10.701041666666667,225.219
45.577326666666664,10.701041666666667,224.346
45.577335,10.701043333333333,226.945
45.577335,10.701043333333333,226.944
45.577335,10.701043333333333,226.931
45.577335,10.701043333333333,227.798
45.577335,10.701043333333333,229.535
45.577335,10.701045,231.246
45.577335,10.701045,184.061
45.577335,10.701043333333333,226.109
45.577335,10.701041666666667,226.089
45.577335,10.701035,286.166
45.577335,10.70102,259.571
45.577326666666664,10.701001666666667,251.003
45.57730333333333,10.700983333333333,264.742
45.577295,10.700956666666666,180.658
45.57727833333333,10.700941666666667,177.223
45.57727,10.700936666666667,226.141
45.577255,10.70093,234.726
45.577238333333334,10.70093,253.601
45.57723,10.700936666666667,221.001
45.577205,10.700948333333333,257.068
45.577196666666666,10.700955,184.126
45.577196666666666,10.700961666666666,243.34
45.577196666666666,10.700971666666666,232.187
45.57721333333333,10.700985,221.047
45.57722166666667,10.700998333333333,226.209
45.57723,10.701006666666666,227.058
45.57723,10.701015,227.936
45.577238333333334,10.701016666666666,227.084
45.577238333333334,10.701021666666668,225.349
45.577255,10.701025,227.079
45.577255,10.701026666666667,226.242
45.577261666666665,10.701026666666667,227.089
45.57727,10.70103,225.392
45.57727,10.701031666666667,227.095
45.57727,10.701035,224.524
45.57727,10.701038333333333,262.31
45.57727,10.70104,226.26
45.57727,10.701045,266.637
45.57727,10.701058333333334,132.688
45.57727,10.70107,353.339
45.57727,10.701086666666667,264.934
45.577261666666665,10.701113333333334,251.181
45.577255,10.701136666666667,264.922
45.57724666666667,10.701161666666666,264.087
45.577238333333334,10.701183333333333,228.008
45.577238333333334,10.701196666666666,228.017
45.577238333333334,10.701213333333333,326.764
45.57723,10.701233333333333,276.956
45.577238333333334,10.701256666666668,253.783
45.577255,10.701278333333333,187.675
45.577261666666665,10.701298333333334,185.103
45.57727,10.701316666666667,300.189
45.57727833333333,10.701333333333332,299.316
45.57727833333333,10.701353333333333,270.978
45.57727,10.701373333333333,271.841
45.577255,10.701395,249.524
45.57724666666667,10.70141,243.523
45.577238333333334,10.701416666666667,194.561
45.57723,10.701423333333333,244.371
45.57721333333333,10.701435,269.31
45.57721333333333,10.701445,160.226
45.57721333333333,10.701448333333333,229.819
45.57721333333333,10.701445,227.221
45.57721333333333,10.701441666666666,229.82
45.57722166666667,10.70144,224.661
45.57721333333333,10.70144,227.241
45.57721333333333,10.70144,229.829
45.57721333333333,10.70144,229.822
45.57721333333333,10.701438333333334,225.542
45.57721333333333,10.70144,227.254
45.57721333333333,10.701438333333334,227.251
45.577205,10.701438333333334,224.678
45.577205,10.701438333333334,225.556
45.577205,10.701438333333334,225.54
45.577205,10.701436666666666,226.417
45.577196666666666,10.701436666666666,229.832
45.577196666666666,10.701436666666666,225.541
45.577196666666666,10.701435,224.695
45.577196666666666,10.701435,226.422
45.577196666666666,10.701435,227.262
45.577196666666666,10.701435,226.408
45.577196666666666,10.701431666666666,226.409
45.577196666666666,10.701431666666666,224.697
45.577196666666666,10.70143,229.87
45.577196666666666,10.70143,225.576
